maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
Truck0,,VIAJE_CARGADO,5865044,7767043,#UB1_TRANQUEESPA_EST,300.0,1:37:45,2:9:27,1901999,0
Truck0,,DESCARGA,7767043,7825043,#UB1_TRANQUEESPA_EST,300.0,2:9:27,2:10:25,58000,0
PA04,Truck0,CARGA,5720865,5865044,#UB1_4390_EST,300.0,1:35:20,1:37:45,144179,540000
Truck11,,VIAJE_VACIO,4597044,5865044,#UB1_4390_EST,0.0,1:16:37,1:37:45,1268000,172505
Truck11,PA04,CARGA,5865044,6009223,#UB1_4390_EST,300.0,1:37:45,1:40:9,144179,0
Truck11,,VIAJE_CARGADO,6009223,7811117,#UB1_TRANQUEESPA_EST,300.0,1:40:9,2:10:11,1801894,0
Truck11,,DESCARGA,7811117,7846117,#UB1_TRANQUEESPA_EST,300.0,2:10:11,2:10:46,35000,0
PA04,Truck11,CARGA,5865044,6009223,#UB1_4390_EST,300.0,1:37:45,1:40:9,144179,0
Truck9,,VIAJE_VACIO,5215960,6849223,#UB1_4390_EST,0.0,1:26:55,1:54:9,1633263,26545
Truck9,PA04,CARGA,6849223,6993402,#UB1_4390_EST,300.0,1:54:9,1:56:33,144179,0
Truck9,,VIAJE_CARGADO,6993402,8895401,#UB1_TRANQUEESPA_EST,300.0,1:56:33,2:28:15,1901999,0
Truck9,,DESCARGA,8895401,8926401,#UB1_TRANQUEESPA_EST,300.0,2:28:15,2:28:46,31000,0
PA04,Truck9,CARGA,6849223,6993402,#UB1_4390_EST,300.0,1:54:9,1:56:33,144179,840000
Truck8,,VIAJE_VACIO,5644185,6993402,#UB1_4390_EST,0.0,1:34:4,1:56:33,1349217,69090
Truck8,PA04,CARGA,6993402,7137581,#UB1_4390_EST,300.0,1:56:33,1:58:57,144179,0
Truck8,,VIAJE_CARGADO,7137581,8939475,#UB1_TRANQUEESPA_EST,300.0,1:58:57,2:28:59,1801894,0
Truck8,,DESCARGA,8939475,8999475,#UB1_TRANQUEESPA_EST,300.0,2:28:59,2:29:59,60000,0
PA04,Truck8,CARGA,6993402,7137581,#UB1_4390_EST,300.0,1:56:33,1:58:57,144179,0
Truck6,,VIAJE_VACIO,5988248,7137581,#UB1_4390_EST,0.0,1:39:48,1:58:57,1149333,98666
Truck6,PA04,CARGA,7137581,7302357,#UB1_4390_EST,373.0,1:58:57,2:1:42,164776,0
Truck6,,VIAJE_CARGADO,7302357,8932642,#UB1_TRANQUEESPA_EST,373.0,2:1:42,2:28:52,1630285,0
Truck6,,DESCARGA,8932642,8976642,#UB1_TRANQUEESPA_EST,373.0,2:28:52,2:29:36,44000,0
PA04,Truck6,CARGA,7137581,7302357,#UB1_4390_EST,373.0,1:58:57,2:1:42,164776,0
Truck10,,VIAJE_VACIO,5578357,7302357,#UB1_4390_EST,0.0,1:32:58,2:1:42,1724000,273942
Truck10,PA04,CARGA,7302357,7446536,#UB1_4390_EST,300.0,2:1:42,2:4:6,144179,0
Truck10,,VIAJE_CARGADO,7446536,9158335,#UB1_TRANQUEESPA_EST,300.0,2:4:6,2:32:38,1711799,0
Truck10,,DESCARGA,9158335,9245335,#UB1_TRANQUEESPA_EST,300.0,2:32:38,2:34:5,87000,0
PA04,Truck10,CARGA,7302357,7446536,#UB1_4390_EST,300.0,2:1:42,2:4:6,144179,0
Truck12,,VIAJE_VACIO,6205256,7446536,#UB1_4390_EST,0.0,1:43:25,2:4:6,1241280,481809
Truck12,PA04,CARGA,7446536,7590715,#UB1_4390_EST,300.0,2:4:6,2:6:30,144179,0
Truck12,,VIAJE_CARGADO,7590715,9302514,#UB1_TRANQUEESPA_EST,300.0,2:6:30,2:35:2,1711799,0
Truck12,,DESCARGA,9302514,9376514,#UB1_TRANQUEESPA_EST,300.0,2:35:2,2:36:16,74000,0
PA04,Truck12,CARGA,7446536,7590715,#UB1_4390_EST,300.0,2:4:6,2:6:30,144179,0
